day,country,"player size",opportunities,"ad requests",impressions,"fillrate %",revenue,rpm,"impression rpm",cost
2018-11-11,MT,320x480,122,172,0,0,0,0,0,0
2018-11-11,ZM,300x250,805,1172,0,0,0,0,0,0
2018-11-11,MU,480x320,8,327,0,0,0,0,0,0
2018-11-11,RE,480x320,13,36,0,0,0,0,0,0
2018-11-11,GL,300x250,71,54,0,0,0,0,0,0
2018-11-11,KG,320x480,160,1181,0,0,0,0,0,0
2018-11-11,TN,720x1280,6,636,0,0,0,0,0,0
2018-11-11,PR,380x480,0,9,0,0,0,0,0,0
2018-11-11,CL,768x1024,586,189754,189,32.25,.30,.51,1.59,.28
2018-11-11,PW,720x1280,1,163,0,0,0,0,0,0
2018-11-11,WS,768x1024,3,272,0,0,0,0,0,0
2018-11-11,MG,720x1280,2,354,0,0,0,0,0,0
2018-11-11,GM,720x1280,2,363,0,0,0,0,0,0
2018-11-11,PH,320x480,3179,14372,1,.03,0,0,2.71,0
2018-11-11,MX,720x1280,6416,1524443,680,10.59,1.22,.19,1.79,.79
2018-11-11,NP,480x320,17,509,0,0,0,0,0,0
2018-11-11,VC,720x1280,2,718,0,0,0,0,0,0
2018-11-11,CO,90x75,4,0,0,0,0,0,0,0
2018-11-11,EC,1280x720,5,1554,0,0,0,0,0,0
2018-11-11,AF,1280x728,1,0,0,0,0,0,0,0
2018-11-11,NG,728x1280,4,0,0,0,0,0,0,0
2018-11-11,AU,1024x768,1945,168427,511,26.27,.91,.46,1.78,.34
2018-11-11,KZ,320x480,265,6772,0,0,0,0,0,0
2018-11-11,UY,728x1280,1,0,0,0,0,0,0,0
2018-11-11,CN,1024x768,1,27,0,0,0,0,0,0
2018-11-11,SX,720x1080,1,72,0,0,0,0,0,0
2018-11-11,AF,728x1280,3,54,0,0,0,0,0,0
2018-11-11,LK,300x250,1766,2490,0,0,0,0,0,0
2018-11-11,PA,1024x768,15,1527,0,0,0,0,0,0
2018-11-11,US,360x50,1,0,0,0,0,0,0,0
2018-11-11,GA,320x50,6,0,0,0,0,0,0,0
2018-11-11,SG,1280x720,42,2654,3,7.14,0,.10,1.49,0
2018-11-11,TM,480x320,17,27,0,0,0,0,0,0
2018-11-11,BR,1920x1080,1217,231381,219,17.99,.36,.29,1.65,.33
2018-11-11,BW,1920x1080,1,27,0,0,0,0,0,0
2018-11-11,EG,320x100,4,0,0,0,0,0,0,0
2018-11-11,US,1280x720,202785,28602298,108807,53.65,204.56,1.00,1.88,45.12
2018-11-11,PF,768x1024,8,954,0,0,0,0,0,0
2018-11-11,TR,320x50,27,418,0,0,0,0,0,0
2018-11-11,GB,320x50,245,1990,0,0,0,0,0,0
2018-11-11,MN,1024x768,44,2936,0,0,0,0,0,0
2018-11-11,NG,720x1280,4,1499,0,0,0,0,0,0
2018-11-11,GD,1024x768,1,0,0,0,0,0,0,0
2018-11-11,JP,320x50,4330,4909,0,0,0,0,0,0
2018-11-11,AW,728x1280,1,90,0,0,0,0,0,0
2018-11-11,MZ,728x1024,6,1654,0,0,0,0,0,0
2018-11-11,TN,320x480,24,654,0,0,0,0,0,0
2018-11-11,US,1000x575,26,1218,0,0,0,0,0,0
2018-11-11,AE,320x480,9822,361617,4035,41.08,6.23,.63,1.54,.02
2018-11-11,ES,1920x1080,36,3718,0,0,0,0,0,0
2018-11-11,IN,480x320,9261,25772,0,0,0,0,0,0
2018-11-11,DM,300x250,22,72,0,0,0,0,0,0
2018-11-11,N/A,1280x728,2,663,0,0,0,0,0,0
2018-11-11,CZ,1920x1080,2,336,0,0,0,0,0,0
2018-11-11,XK,300x250,47,54,0,0,0,0,0,0
2018-11-11,SY,1280x728,2,36,0,0,0,0,0,0
2018-11-11,OM,720x1280,2,363,0,0,0,0,0,0
2018-11-11,CL,720x1280,34,7181,0,0,0,0,0,0
2018-11-11,SR,768x1024,105,23499,0,0,0,0,0,0
2018-11-11,IR,0x0,0,72,0,0,0,0,0,0
2018-11-11,ES,768x1024,733,177481,0,0,0,0,0,0
2018-11-11,MY,0x0,12,54,0,0,0,0,0,0
2018-11-11,PR,768x1024,13,3454,0,0,0,0,0,0
2018-11-11,SC,720x1280,7,2272,0,0,0,0,0,0
2018-11-11,GP,320x480,12,27,0,0,0,0,0,0
2018-11-11,SY,728x1280,7,290,0,0,0,0,0,0
2018-11-11,NG,768x1024,4,536,6,150.00,0,2.22,1.48,0
2018-11-11,TW,360x640,20,290,0,0,0,0,0,0
2018-11-11,YE,1024x768,6,154,0,0,0,0,0,0
2018-11-11,AD,1024x768,32,99,0,0,0,0,0,0
2018-11-11,GU,1920x1080,4,772,0,0,0,0,0,0
2018-11-11,PE,480x320,6008,11336,0,0,0,0,0,0
2018-11-11,BM,720x1280,3,0,0,0,0,0,0,0
2018-11-11,SR,1920x1080,1,363,0,0,0,0,0,0
2018-11-11,UA,728x1024,1,245,0,0,0,0,0,0
2018-11-11,TZ,728x1024,1,0,0,0,0,0,0,0
2018-11-11,EG,728x1024,15,1045,0,0,0,0,0,0
2018-11-11,SL,300x250,114,109,0,0,0,0,0,0
2018-11-11,BY,360x640,0,63,0,0,0,0,0,0
2018-11-11,HK,1280x728,10,1472,0,0,0,0,0,0
2018-11-11,NI,320x50,17,9,0,0,0,0,0,0
2018-11-11,AR,320x50,550,881,0,0,0,0,0,0
2018-11-11,VU,768x1024,13,2154,0,0,0,0,0,0
2018-11-11,SO,720x1280,41,6063,0,0,0,0,0,0
2018-11-11,MU,1280x720,22,8436,0,0,0,0,0,0
2018-11-11,AT,1280x720,1,0,0,0,0,0,0,0
2018-11-11,PY,320x480,12,1245,0,0,0,0,0,0
2018-11-11,MN,768x1024,396,70990,0,0,0,0,0,0
2018-11-11,LU,768x1024,4,245,0,0,0,0,0,0
2018-11-11,NL,728x1024,20,6063,0,0,0,0,0,0
2018-11-11,AR,1024x768,64,7199,2,3.12,0,.05,1.68,0
2018-11-11,IQ,300x250,11742,20563,0,0,0,0,0,0
2018-11-11,GB,1920x1080,265,23954,0,0,0,0,0,0
2018-11-11,DO,1280x728,4,1254,0,0,0,0,0,0
2018-11-11,CA,1000x575,6,418,0,0,0,0,0,0
2018-11-11,CL,1024x768,22,8109,28,127.27,.04,1.86,1.46,0
2018-11-11,BW,1024x768,1,454,0,0,0,0,0,0
2018-11-11,LT,1280x720,1,390,0,0,0,0,0,0
2018-11-11,JP,720x1280,2,18,0,0,0,0,0,0
2018-11-11,MZ,728x1280,1,63,0,0,0,0,0,0
2018-11-11,KN,300x250,12,27,0,0,0,0,0,0
2018-11-11,HU,320x480,72,1490,0,0,0,0,0,0
2018-11-11,CL,400x728,52,44472,0,0,0,0,0,0
2018-11-11,CD,300x250,64,99,0,0,0,0,0,0
2018-11-11,CG,320x480,0,372,0,0,0,0,0,0
2018-11-11,ET,720x1280,16,2990,0,0,0,0,0,0
2018-11-11,JE,1920x1080,9,263,0,0,0,0,0,0
2018-11-11,LB,720x1280,28,5409,0,0,0,0,0,0
2018-11-11,PY,320x50,36,36,0,0,0,0,0,0
2018-11-11,MX,300x250,9126,249963,15,.16,.02,0,1.70,0
2018-11-11,GB,480x360,1,172,0,0,0,0,0,0
2018-11-11,AS,320x480,155,390,0,0,0,0,0,0
2018-11-11,CA,300x250,39268,493681,151,.38,.23,0,1.56,.14
2018-11-11,CI,1280x720,1,181,0,0,0,0,0,0
2018-11-11,FJ,300x250,588,727,0,0,0,0,0,0
2018-11-11,AL,768x1024,75,10190,0,0,0,0,0,0
2018-11-11,GA,480x320,72,172,0,0,0,0,0,0
2018-11-11,ES,320x100,21,0,0,0,0,0,0,0
2018-11-11,GB,320x100,3,0,0,0,0,0,0,0
2018-11-11,TH,768x1024,2,0,0,0,0,0,0,0
2018-11-11,BB,720x1280,2,1618,0,0,0,0,0,0
2018-11-11,PY,1280x720,3,1454,0,0,0,0,0,0
2018-11-11,SG,768x1024,414,219436,77,18.59,.12,.29,1.57,.01
2018-11-11,SO,300x250,0,18,0,0,0,0,0,0
2018-11-11,NO,1024x768,85,5454,14,16.47,.02,.27,1.69,0
2018-11-11,KW,728x1280,1082,163281,155,14.32,.29,.27,1.92,0
2018-11-11,CO,300x250,6372,36736,0,0,0,0,0,0
2018-11-11,EC,768x1024,2436,599581,1239,50.86,1.86,.76,1.50,1.86
2018-11-11,OM,480x320,140,2454,0,0,0,0,0,0
2018-11-11,TT,1920x1080,1,54,0,0,0,0,0,0
2018-11-11,CH,320x50,159,181,0,0,0,0,0,0
2018-11-11,SY,1280x720,31,4236,0,0,0,0,0,0
2018-11-11,JE,728x1024,1,2654,0,0,0,0,0,0
2018-11-11,ET,300x250,391,827,0,0,0,0,0,0
2018-11-11,N/A,1920x1080,5,1054,0,0,0,0,0,0
2018-11-11,VN,728x1024,3,18,0,0,0,0,0,0
2018-11-11,BG,720x1280,1,99,0,0,0,0,0,0
2018-11-11,GB,768x1024,170,36454,9,5.29,.01,.08,1.60,0
2018-11-11,BW,1280x720,10,2918,0,0,0,0,0,0
2018-11-11,FI,1920x1080,2,336,0,0,0,0,0,0
2018-11-11,DE,728x1024,105,19445,8,7.61,.01,.13,1.72,0
2018-11-11,N/A,1280x720,2,309,0,0,0,0,0,0
2018-11-11,UZ,300x250,1109,1690,0,0,0,0,0,0
2018-11-11,SY,720x1080,2,163,0,0,0,0,0,0
2018-11-11,BG,1280x728,1,0,0,0,0,0,0,0
2018-11-11,NU,720x1280,1,45,0,0,0,0,0,0
